epoch,du,dv,dp,anneal,t_solve,t_grad,t_sparse_fields,t_sparse_weights,ref_du_linf,ref_du_l1,ref_du_l2,ref_dv_linf,ref_dv_l1,ref_dv_l2,ref_dp_linf,ref_dp_l1,ref_dp_l2,tt_opt,tt_callback
0,0.0,0.0,0.0,1,4.5299530029296875e-06,0,0,0,0.9006992506627818,0.14225081681562962,0.2139263016226335,0.6278848500971588,0.1389669468602407,0.18980689914128776,1.2215789551312033,0.18696747042392045,0.19381174213340482,4.471086502075195,0.6706769466400146
1,0.04030590084013624,0.0195557672782513,0.03521776550355295,1,1.6689300537109375e-06,0,0,0,0.869145180609621,0.14196953956373667,0.21280202261596368,0.6278848500971588,0.13895293328120747,0.18979885813218825,1.1999141766934271,0.18695262619244918,0.19376337962280965,4.483079195022583,0.6710386276245117
2,0.16162762445246187,0.08289477804808398,0.15601999971665612,1,1.6689300537109375e-06,0,0,0,0.8898824077061026,0.14088858186296477,0.2090501854799896,0.6278848500971588,0.13895246954586327,0.18979286342987703,1.0993599436930794,0.18695262619244918,0.19365345698575923,4.49265456199646,0.6714081764221191
3,0.13270002247490686,0.07990223922230592,0.13563615168078613,1,1.6689300537109375e-06,0,0,0,0.9540507855085998,0.13992268191428653,0.2069920095301022,0.6278848500971588,0.13898851043820504,0.18980416354634835,1.006734359669231,0.18695262619244918,0.19359930068644698,4.502090930938721,0.6717755794525146
4,0.054164458473927535,0.014902376061099044,0.04560992926041724,1,1.430511474609375e-06,0,0,0,0.9358985202945829,0.14018566284183986,0.20741647776408434,0.6278852764708887,0.13890159556937914,0.18974914330805262,1.0347823404073067,0.18695262619244918,0.19357777393597858,4.510608911514282,0.6721405982971191
5,0.023587463645715123,0.01298745815189195,0.013600067549559329,1,1.9073486328125e-06,0,0,0,0.9386371132009416,0.1401331709363837,0.20732685708684961,0.62788380571657,0.13882081800553953,0.18969553121354205,1.0330477428997153,0.18695262619244918,0.19355944104180578,4.520092964172363,0.6725132465362549
6,0.03453772212852879,0.03800621282801866,0.020474013380152253,1,1.6689300537109375e-06,0,0,0,0.9548600476416147,0.1398611743170933,0.20689899006089976,0.6279002701569456,0.13867806641025765,0.18960448106090158,1.0145487396382606,0.18695262619244918,0.19352995118720862,4.528598070144653,0.673095703125
7,0.05206750487206463,0.03542701188696035,0.02751735118056645,1,2.1457672119140625e-06,0,0,0,0.9712021942747224,0.13956178762800767,0.2065104916300449,0.6277879353715714,0.1385194947775371,0.18950903290833798,0.9961779314379113,0.18695262619244918,0.19350364597165184,4.537750005722046,0.673553466796875
8,0.007270691796131629,0.0014211188226128657,0.006462279357089381,1,1.6689300537109375e-06,0,0,0,0.9727683268789682,0.13954121263150646,0.20648970820163381,0.6278527212700287,0.1385115488036212,0.18950446956765146,0.9941512975455821,0.18695262619244918,0.19350100117867322,4.548380136489868,0.6739273071289062
9,0.005582541619312681,0.007968558676894999,0.00372025559870455,1,1.430511474609375e-06,0,0,0,0.9748758502459333,0.1394997995458083,0.2064380198102863,0.6278587224853581,0.1384690554344976,0.18948066287378953,0.992064112363114,0.18695262619244918,0.19349563502248596,4.5588343143463135,0.6742944717407227
10,0.017501514321542094,0.020158595723924533,0.011507789362407483,1,1.9073486328125e-06,0,0,0,0.978211114476569,0.13941930659356144,0.20633195009571487,0.6278442370463636,0.13836952221494198,0.18942690502548137,0.9886094227279809,0.18695262619244918,0.1934837300413214,4.569544315338135,0.6746644973754883
11,0.016728418312534493,0.026321205733199068,0.017464853482593523,1,2.1457672119140625e-06,0,0,0,0.9811348120039853,0.1393222437520097,0.2061842024075007,0.6278446534299338,0.1382571071501438,0.18936722618952365,0.9833750469581777,0.18695262619244918,0.19346492420021416,4.579877853393555,0.6750900745391846
12,0.015756265755958704,0.0267332716922648,0.0189554403297022,1,1.9073486328125e-06,0,0,0,0.9837140836718317,0.13922514917389311,0.2060258327480897,0.6278537797757618,0.13815747538475454,0.18931329480773124,0.9779005690245199,0.18695262619244915,0.19344520216941943,4.5976502895355225,0.6755070686340332
13,0.005723203784267827,0.007527856781793324,0.005822879893523647,1,1.9073486328125e-06,0,0,0,0.9837946404089842,0.1391890449580956,0.20595135160413697,0.6279125721646936,0.13814441350830325,0.18930294244812648,0.9752878545048644,0.18695262619244918,0.19343410218325585,4.608122825622559,0.6758711338043213
14,0.008492967315895217,0.007625432436015128,0.006702156237833934,1,2.1457672119140625e-06,0,0,0,0.9827485186605707,0.1391597584805755,0.205868058876493,0.6279985397276057,0.1381431201407173,0.18929760744309976,0.9733579129729575,0.18695262619244918,0.1934213242120264,4.61931586265564,0.6762385368347168
15,0.012403513898369856,0.014152065965888513,0.011058187095112637,1,2.86102294921875e-06,0,0,0,0.9812779878205301,0.13909871674983879,0.20570948730966745,0.6281324491693623,0.13811238874979948,0.18927720616068425,0.9709397674125946,0.18695262619244918,0.19339974963627357,4.632049560546875,0.6766617298126221
16,0.022583399966026263,0.028783400933701547,0.02190112685928225,1,1.6689300537109375e-06,0,0,0,0.9783295331523529,0.13896870871824096,0.2053748262182516,0.6283608006743323,0.1380371477117513,0.18923149112082954,0.9664589960164623,0.18695262619244918,0.19335904161275613,4.646105766296387,0.6770350933074951
17,0.004306418569124448,0.007354449700969712,0.004697125713695835,1,1.6689300537109375e-06,0,0,0,0.9776935676614553,0.13892407850232147,0.20527443148656951,0.6283477015647623,0.13799719845229746,0.18921339329844108,0.9654872584408303,0.18695262619244918,0.1933473975816112,4.658271312713623,0.6774117946624756
18,0.0069225774357847825,0.010698241824078955,0.0055670664408085865,1,1.9073486328125e-06,0,0,0,0.9770040337829593,0.13885335881836997,0.20512743011487736,0.6282697201793681,0.1379319484757055,0.18918568830314422,0.9636438911203553,0.18695262619244918,0.1933308298278266,4.669728517532349,0.6778585910797119
19,0.009981961349794621,0.016689799139238903,0.007778161245942012,1,1.6689300537109375e-06,0,0,0,0.9754225041088075,0.13874849939588552,0.20490256425149148,0.6281044418203852,0.13785188127154263,0.1891509091323674,0.9593989219329646,0.18695262619244918,0.19330610141906698,4.681203603744507,0.6782286167144775
20,0.015641503161456183,0.02938441030704754,0.015558541392963643,1,1.9073486328125e-06,0,0,0,0.971094825213588,0.1385722467894495,0.20450489167466024,0.6281226275910057,0.1377257560365709,0.18909269271991536,0.9504584303351018,0.18695262619244915,0.19326505887244846,4.69367790222168,0.6786012649536133
21,0.010461206416786661,0.02099443862839037,0.009721199542025466,1,2.1457672119140625e-06,0,0,0,0.9673263106241473,0.13845503529728545,0.20422447574593677,0.6282134354422055,0.1376497710511474,0.1890584758274405,0.9429207917203908,0.18695262619244915,0.19323745477467613,4.705801963806152,0.6791412830352783
22,0.008710623205530121,0.011206395266167846,0.006211807095657773,1,1.9073486328125e-06,0,0,0,0.9636460289689684,0.13840036799084227,0.20405627789585964,0.6281778678204737,0.13764118128353053,0.18905015247729734,0.936708984624733,0.18695262619244918,0.1932204594553494,4.718361139297485,0.6796133518218994
23,0.012817189740197577,0.01595649791688647,0.010083533641871645,1,1.430511474609375e-06,0,0,0,0.9577313712417463,0.13831049677352197,0.2037835544019135,0.6280111428645796,0.13761286941058937,0.1890320069024946,0.9266254509828613,0.18695262619244918,0.19319396086582902,4.7316882610321045,0.6800177097320557
24,0.020476210633511238,0.03067196228801794,0.020268472434391338,1,2.1457672119140625e-06,0,0,0,0.9464415350494331,0.13810637067131065,0.20322291094172837,0.6276182024056495,0.13751086525815,0.18898256222795015,0.90635697854847,0.18695262619244918,0.19314167770714402,4.7438788414001465,0.6803922653198242
25,0.003696198862575162,0.0054662725162862025,0.003610033615661812,1,1.9073486328125e-06,0,0,0,0.9451017521843648,0.1380679285573157,0.20313797235189998,0.6274716588546974,0.13748432882192108,0.18897106741569084,0.9027469449328082,0.18695262619244918,0.1931325559478389,4.756001949310303,0.6807591915130615
26,0.004791606351570499,0.006320777400845662,0.003693871800262108,1,1.9073486328125e-06,0,0,0,0.9434510255018799,0.13801849761416723,0.20303147734084567,0.6273662306286821,0.13743740564199727,0.1889543145719254,0.8998154148934447,0.18695262619244918,0.19312139806760445,4.768126726150513,0.6811263561248779
27,0.009143918336640591,0.010268754606853406,0.008475130027422173,1,1.6689300537109375e-06,0,0,0,0.9387893402605422,0.13792382015458135,0.20279450554020842,0.6272017428676471,0.13736951655982677,0.18892676687727689,0.8913402848660226,0.18695262619244918,0.19309858568615207,4.781328201293945,0.681499719619751
28,0.022137433391604844,0.023187429510708235,0.02018667388204598,1,1.1920928955078125e-06,0,0,0,0.9261686890012446,0.13771036034337794,0.2022339780362952,0.6275001740742973,0.1372276208137731,0.18887067310473712,0.8711536109839766,0.18695262619244918,0.19304530003141718,4.794032573699951,0.6818716526031494
