epoch,du,dv,dp,anneal,t_solve,t_grad,t_sparse_fields,t_sparse_weights,ref_du_linf,ref_du_l1,ref_du_l2,ref_dv_linf,ref_dv_l1,ref_dv_l2,ref_dp_linf,ref_dp_l1,ref_dp_l2,tt_opt,tt_callback
0,0.0,0.0,0.0,1,3.337860107421875e-06,0,0,0,0.9524947306669126,0.12624203298956999,0.21333045614251872,0.5308539680776211,0.10587275159969604,0.15195102071560054,2.4602957832797374,0.1478284574772245,0.1692571985113361,0.009467601776123047,0.603351354598999
1,0.9543584566522944,0.37079454972776543,1.1626613091148847,1,3.0994415283203125e-06,4.903174161911011,0.02196192741394043,0.0008709430694580078,0.1824701181672039,0.032781117224089475,0.04920212649492649,0.19395501461604303,0.03248394919735884,0.05147852299042506,1.2976344741648527,0.13563810172062654,0.14304850801216462,5.709549427032471,0.6038103103637695
2,0.1905839514159614,0.1583189266973994,0.8420072387152118,1,3.0994415283203125e-06,0.005166769027709961,0.02068948745727539,0.0007266998291015625,0.06395203931831167,0.008715789353777776,0.012661812053387313,0.0794370877328166,0.008878705901800356,0.013390267673661726,0.4556272354496409,0.017037532834829592,0.020270030933627742,6.524416446685791,0.6042063236236572
3,0.044442973988758905,0.04087804931710848,0.2573034935801566,1,3.337860107421875e-06,0.0039827823638916016,0.023271560668945312,0.0015482902526855469,0.029027143370113473,0.0023339089422872213,0.0033311524182665243,0.038559038415708125,0.001913010681229408,0.0027694653138964943,0.19832374186948432,0.00937114932839003,0.010192419679114165,7.340035438537598,0.6046018600463867
4,0.016980272444744857,0.017706510449841173,0.09252059542963975,1,2.86102294921875e-06,0.005194425582885742,0.021028518676757812,0.0014126300811767578,0.01409814434981993,0.0005595098517302331,0.0008771333371323048,0.02085252796586695,0.00039598274848141787,0.0007440229680197872,0.10580314643984456,0.011853151521577909,0.011962485629481856,8.176761627197266,0.6049947738647461
5,0.006902116242504752,0.009638674792157631,0.0438939780916896,1,2.86102294921875e-06,0.005244255065917969,0.020096778869628906,0.000732421875,0.007196028107315178,0.00016925180756325749,0.0003021678699094204,0.01121385317370932,0.00013180076053735987,0.00031789920766453993,0.061909168348154964,0.014184907096635578,0.01421100297142667,8.986075162887573,0.6053619384765625
6,0.0034300204619977515,0.005293701041470311,0.02339824923935252,1,3.5762786865234375e-06,0.004932880401611328,0.020190715789794922,0.0007495880126953125,0.0037660076453174263,6.765720582009e-05,0.00013251427293037025,0.005920152132239009,4.937055532002585e-05,0.0001522675700374348,0.038510919108802444,0.014174488728261847,0.014181684022201334,9.781351566314697,0.6057541370391846
7,0.0018009913068436911,0.0028272424308360966,0.011547984121120347,1,3.337860107421875e-06,0.004860401153564453,0.020381927490234375,0.0007734298706054688,0.001965016338473735,2.5735586267711024e-05,5.9593050562680945e-05,0.0030929097014029128,1.903734811475835e-05,7.522132515120501e-05,0.026962934987682097,0.014514831974295445,0.014516700320180681,10.590354681015015,0.6061413288116455
8,0.0009460509101663073,0.0014871452852016076,0.006105458026458788,1,3.0994415283203125e-06,0.005924224853515625,0.020380258560180664,0.0007500648498535156,0.0010189654283074279,9.397477381974932e-06,2.7777451686161637e-05,0.0016057644162013052,7.021716145362353e-06,3.7993414271044295e-05,0.02085747696122331,0.014498799769534117,0.014499296631894568,11.39193058013916,0.6065037250518799
9,0.0004924267872556398,0.0007761242869906981,0.0028671022281208103,1,3.5762786865234375e-06,0.005246162414550781,0.019034862518310547,0.0009500980377197266,0.000526538641051788,3.457273614255772e-06,1.3503101040050922e-05,0.000829640129210607,2.6402378506595096e-06,1.9420652818302695e-05,0.0179903747331025,0.01474680816755806,0.014746937489336025,12.204544067382812,0.6068878173828125
10,0.00025518698530885287,0.0004028298430377997,0.0015854037663456388,1,2.6226043701171875e-06,0.005725860595703125,0.020391464233398438,0.0007374286651611328,0.0002713516557429352,1.3191585224703636e-06,6.733602079176256e-06,0.00042681028617280736,1.056346233697697e-06,9.958933915342408e-06,0.01640497096675686,0.014752247621684094,0.01475228170495817,12.9890718460083,1.1912317276000977
11,0.00013189324836720973,0.00020802980546885674,0.0008082558594404432,1,3.0994415283203125e-06,0.005130290985107422,0.02178215980529785,0.0008471012115478516,0.00013945840737572546,5.419998903010917e-07,3.3983152022135552e-06,0.00021878048070395062,4.662655520173508e-07,5.103732987877253e-06,0.015596715107316417,0.014755618852169531,0.01475562779719486,13.783272743225098,1.1916320323944092
12,6.797284300408268e-05,0.00010696056033038248,0.00041398104506340516,1,3.337860107421875e-06,0.0035860538482666016,0.020937204360961914,0.0010731220245361328,7.148556437164277e-05,2.4525913913333126e-07,1.7230853522285546e-06,0.00011181992037356814,2.2646522566543973e-07,2.6107433482620487e-06,0.015182734062253012,0.014755197769778482,0.014755200108035577,14.575504064559937,1.1920499801635742
13,3.492793441489672e-05,5.480186941320131e-05,0.00021092983727699632,1,3.0994415283203125e-06,0.006418466567993164,0.0203397274017334,0.0007424354553222656,3.655762995674605e-05,1.1707416021904601e-07,8.746926484137441e-07,5.701805096036683e-05,1.1502472762551028e-07,1.3327226284535308e-06,0.014971804224976015,0.014754717405180025,0.014754718014013535,15.37848162651062,1.1924254894256592
14,1.790016648473003e-05,2.7999489210284167e-05,0.00010622841187757359,1,3.0994415283203125e-06,0.005617618560791016,0.01963186264038086,0.001065969467163086,1.8657463472016023e-05,5.711259741697654e-08,4.4387278935512007e-07,2.901856175008266e-05,5.8438586531589975e-08,6.790033145185286e-07,0.014865575813098442,0.014755452582880467,0.014755452740835253,16.177269458770752,1.1929199695587158
15,9.15235205561915e-06,1.4273041112344842e-05,5.4956544920603534e-05,1,3.0994415283203125e-06,0.005761146545410156,0.01821303367614746,0.0011017322540283203,9.505111416396872e-06,2.8228349512432164e-08,2.2505764794392345e-07,1.4745520637737819e-05,2.9551769991388046e-08,3.4535729507018727e-07,0.014810619268177838,0.014754803129799664,0.0147548031706554,16.966404676437378,1.1934287548065186
16,4.670118825766956e-06,7.262308161615216e-06,2.8084539350992088e-05,1,3.0994415283203125e-06,0.005860328674316406,0.028142929077148438,0.0008072853088378906,4.834992590629916e-06,1.40262318634904e-08,1.1400542297978993e-07,7.483212476122603e-06,1.4920387590897617e-08,1.754055996519768e-07,0.014782534728826846,0.014754264849021408,0.014754264859560282,17.769200325012207,1.1939756870269775
17,2.3788005720226657e-06,3.689534637363323e-06,1.403581003023291e-05,1,3.337860107421875e-06,0.0058858394622802734,0.01851630210876465,0.0011785030364990234,2.4561920186072506e-06,6.990889519086054e-09,5.7701389103535805e-08,3.7936778387592796e-06,7.52036088955854e-09,8.898137818702227e-08,0.014768498918796613,0.014754189703956581,0.014754189706668733,18.587939023971558,1.1944992542266846
18,1.209841178351212e-06,1.872092908195011e-06,6.881668746849812e-06,1,2.86102294921875e-06,0.005760908126831055,0.02363276481628418,0.0011470317840576172,1.2463508402560386e-06,3.4886513414111256e-09,2.918286455182732e-08,1.9215849305642685e-06,3.787468842030058e-09,4.509454460045663e-08,0.014761617250049763,0.014754378301760903,0.014754378302457483,19.39600419998169,1.1949055194854736
19,6.145163268800324e-07,9.489429062536914e-07,3.5630981423118158e-06,1,3.0994415283203125e-06,0.003954648971557617,0.023659229278564453,0.0014503002166748047,6.318345133760062e-07,1.74330314254891e-09,1.4750399366363648e-08,9.726420243105771e-07,1.9066599269980412e-09,2.2834560234921025e-08,0.014758054151907452,0.014754393665883764,0.014754393666062378,20.209280967712402,1.1953179836273193
